Run,Max Qualities,Avg Qualities,SoS Qualities,botkm,logchanTM_E,logchanTM_N,logchanTM_S,logchanTM_W,logFTM_CF006,logFTM_CF007,logFTM_SSF016,logFTM_SSF017,logFTM_SSF018,logFTM_SSF019,logFTM_SSF020,logFTM_SSF021,logFTM_SSF023,logFTM_SSF024,oilvismult,permmult,permmult_asph,PX1,PX2,PY1,PY2,topk,wpimult_2s,X1,X2,Y1,Y2
Scope18,39.2073974609375,11.150419447157118,1208.329833260388,0.11198578460678499,-0.6699192015228776,-2.232091266320784,-4.809490622317896,-1.580303761903938,-4.739530116785844,0.0,-0.9547104449057393,-0.45826510891764016,-3.055585011272152,-2.7241719165276175,-2.7393763356074405,-0.33234439642811964,0.0,-1.672878923397234,1.0,0.15327733572948304,0.23655987593268268,25.0,49.0,13.0,35.0,20.0,0.7984444648075031,38.0,44.0,11.0,46.0
Scope19,261.5685122013092,70.79317903518677,62159.886682101525,0.732683326622502,-4.319736416261916,-4.54276000667691,-1.8336166705266237,-2.3687448358114196,-5.899884502006692,0.0,-1.7401252544312884,-0.9163091953919036,-0.9332440459902296,-4.734986647264385,-4.755542719106394,-5.14455642097344,0.0,-1.5734313508015383,1.0,0.11450571979917502,0.48442426603848954,31.0,56.0,9.0,37.0,51.0,0.6729795917116002,37.0,45.0,26.0,37.0
Scope20,12.947738647460938,6.3509979248046875,270.54487961379346,0.329440541510385,-0.8330492029139398,-1.7934200684519883,-4.343042485656413,-5.81241649439154,-3.667768572912522,0.0,-3.621674207553324,-4.9637802156448085,-1.8195122893011542,-2.4281277514227133,-3.931274362729182,-3.775079476036254,0.0,-3.608029302472734,1.0,0.3473365087224257,0.04883840269785539,32.0,42.0,7.0,43.0,13.0,0.6170539297306019,35.0,57.0,26.0,30.0
Scope21,54.28717041015625,17.185041639539932,2736.3278842421714,0.023457281924578022,-2.033904257228616,-5.102866680174198,-3.9782844983980024,-1.7061706375944183,-0.9062472524958238,0.0,-5.145136295745228,-3.7623279768517737,-0.46331855528761245,-5.7358430937294305,-3.0446010646822446,-2.3816855004361317,0.0,-2.6638288210743086,1.0,0.7206761665506234,0.08385766024888107,35.0,57.0,7.0,30.0,42.0,0.7633176490324718,32.0,56.0,16.0,44.0
Scope22,22.760147094726562,12.69239976671007,836.705190274166,0.9756753128535269,-2.900420549830299,-2.5557237747894934,-1.0975693361820715,-0.5029803728731146,-5.728502058738012,0.0,-5.17577875872189,-4.878635417450256,-5.99530959014883,-5.00341527231279,-4.3413610863460015,-0.28312969831539636,0.0,-4.8284706723787565,1.0,0.20190422961842336,0.01998911507794904,29.0,51.0,16.0,34.0,30.0,0.7345786136478073,26.0,38.0,4.0,33.0
Scope23,51.34797668457031,20.095508151584202,3200.3823614056455,0.8984414238333269,-1.0805176293867778,-3.233104437088064,-0.687292293635382,-2.864385020572712,-5.31950358231942,0.0,-5.312595728170104,-5.756972955039324,-3.722424596437326,-0.6784897540476784,-3.826076161848342,-4.237868360089284,0.0,-4.069138445127942,1.0,0.4632530769969808,0.01508234419244774,31.0,67.0,17.0,37.0,12.0,0.36448519033564225,38.0,43.0,22.0,47.0
Scope24,52.01470947265625,19.21713087293837,3135.8364631809527,0.7554444300319161,-1.2642523855679881,-1.3357711646893087,-0.34596781923466224,-4.969475674366332,-1.8029147289056038,0.0,-0.27338060301336675,-0.6422908618246446,-1.604709205250142,-1.3136002436859657,-4.623558383202216,-0.8594136701286832,0.0,-1.4288567914725778,1.0,0.30679031352368774,0.013271175586625649,31.0,61.0,6.0,35.0,18.0,0.7545125932992947,22.0,70.0,11.0,50.0
Scope25,261.5685122013092,77.16562912199232,62303.087790441234,0.046238912110610986,-1.0288682358024177,-5.0909331878493775,-3.0223064295201882,-0.5513906624515679,-0.05748566600890115,0.0,-0.09511793955800396,-0.32013238353364226,-3.3241794171019734,-2.3306132030784057,-4.571936925496644,-2.205135398923458,0.0,-1.3184642361105778,1.0,0.14665233140372239,0.019786195412169305,35.0,62.0,8.0,47.0,71.0,0.49612706627590364,27.0,46.0,12.0,36.0
Scope26,27.86492919921875,12.110120985243055,918.6706079943106,0.5634862497973117,-5.969808536423412,-0.5473802083346708,-2.8049376677644986,-1.5599473220410376,-1.3087851941043782,0.0,-0.017494178027561702,-3.642744275855556,-5.763821543612256,-2.5045609470337347,-1.9031029939058763,-4.199807690661402,0.0,-0.6487833840043624,1.0,0.31904956603999973,0.015619687882815562,33.0,43.0,20.0,40.0,33.0,0.9307054735745162,23.0,49.0,19.0,48.0
Scope27,261.5685122013092,82.40581772062514,65102.05609481328,0.4456403833844698,-4.884509377134486,-3.020301716705495,-4.1621715632247955,-5.496017734141014,-3.0497444105164235,0.0,-4.621652275562208,-1.6353655837373875,-5.365135656233928,-3.80581596153549,-0.2968857116886001,-4.782738265052802,0.0,-3.4409988258936806,1.0,0.10505130183295894,0.1030317106697513,26.0,45.0,17.0,31.0,57.0,0.4855296260882547,32.0,61.0,7.0,44.0
